city_name,neighbourhood_name,neighbourhood_group_name
Venezia,Gatta - Bondu?,Terraferma
Venezia,Gazzera,Terraferma
Venezia,Giustizia,Terraferma
Venezia,La Favorita,Terraferma
Venezia,Macello,Terraferma
Venezia,Maguolo,Terraferma
Venezia,Malcontenta,Terraferma
Venezia,Marghera,Terraferma
Venezia,Marghera Catene,Terraferma
Venezia,Marghera Zona Industriale,Terraferma
Venezia,Marocco Terraglio,Terraferma
Venezia,Marocco Zelarino,Terraferma
Venezia,Molino Ronchin,Terraferma
Venezia,Piave 1860,Terraferma
Venezia,Pra' Secco,Terraferma
Venezia,Quartiere Pertini,Terraferma
Venezia,San Lorenzo XXV Aprile,Terraferma
Venezia,Santa Barbara,Terraferma
Venezia,Sardi (M.5 - Q11),Terraferma
Venezia,Sardi (M.5 - Q.12),Terraferma
Venezia,Scaramuzza,Terraferma
Venezia,Taru',Terraferma
Venezia,Tessera,Terraferma
Venezia,Torre Antica,Terraferma
Venezia,Trivignano,Terraferma
Venezia,Villabona,Terraferma
Venezia,Villaggio San Marco,Terraferma
Venezia,Villaggio Sartori,Terraferma
Venezia,Zelarino,Terraferma
Venezia,Zona Commerciale via Torino,Terraferma
