city_name,neighbourhood_name,period_label,dominant_room_type,room_type_entropy,reviews_last_twelve_months_median,reviews_last_twelve_months_median_abs_deviation,host_listing_count_median,host_listing_count_median_abs_deviation,accommodates_count_median,accommodates_count_median_abs_deviation,nightly_price_median,nightly_price_median_abs_deviation,total_reviews_median,total_reviews_median_abs_deviation,rating_score_median,rating_score_median_abs_deviation,accuracy_score_median,accuracy_score_median_abs_deviation,cleanliness_score_median,cleanliness_score_median_abs_deviation,checkin_score_median,checkin_score_median_abs_deviation,communication_score_median,communication_score_median_abs_deviation,location_score_median,location_score_median_abs_deviation,value_score_median,value_score_median_abs_deviation,reviews_per_month_median,reviews_per_month_median_abs_deviation,latitude_median,latitude_median_abs_deviation,longitude_median,longitude_median_abs_deviation
Napoli,Barra,Early Winter,Entire home/apt,0.9864,14.0,14.0,1.0,0.0,4.0,2.0,64.0,19.0,37.0,33.0,4.67,0.18,4.67,0.17,4.64,0.14,4.8,0.13,4.83,0.12,4.11,0.22,4.72,0.07,2.01,1.41,40.8414,0.0027,14.322,0.0066
Venezia,Bissuola,Early Autumn,Entire home/apt,0.874,10.0,10.0,2.0,1.0,4.0,1.0,90.0,12.0,28.0,22.0,4.81,0.14,4.86,0.09,4.85,0.15,4.87,0.1,4.93,0.07,4.69,0.12,4.73,0.14,1.2,0.82,45.4951,0.0012,12.2555,0.0029
Venezia,Bissuola,Early Spring,Entire home/apt,0.8886,8.0,8.0,3.0,2.0,3.0,1.0,86.0,10.0,30.0,24.0,4.83,0.1,4.86,0.09,4.89,0.11,4.9,0.1,4.94,0.06,4.7,0.12,4.78,0.11,0.83,0.68,45.4952,0.0015,12.2544,0.0022
Venezia,Bissuola,Early Summer,Entire home/apt,0.896,7.0,7.0,2.5,1.5,4.0,1.0,86.5,12.5,28.5,23.0,4.825,0.105,4.855,0.085,4.865,0.135,4.89,0.11,4.935,0.065,4.72,0.13,4.755,0.135,0.9,0.66,45.495,0.0012,12.255,0.0028
Venezia,Bissuola,Early Winter,Entire home/apt,0.8813,5.0,5.0,2.5,1.5,4.0,1.0,74.5,15.0,30.5,25.5,4.835,0.095,4.88,0.08,4.885,0.115,4.9,0.1,4.945,0.055,4.7,0.13,4.78,0.115,1.025,0.795,45.4952,0.0015,12.255,0.0028
Venezia,Burano,Early Autumn,Entire home/apt,0.2164,10.0,8.0,2.0,1.0,4.0,1.0,146.0,27.0,23.0,21.0,4.95,0.05,4.96,0.04,4.98,0.02,4.95,0.05,4.98,0.02,4.96,0.04,4.85,0.09,0.92,0.65,45.4853,0.0007,12.4184,0.0012
Venezia,Burano,Early Spring,Entire home/apt,0.2352,8.5,7.5,2.0,1.0,4.0,1.0,138.5,21.0,18.5,17.0,4.945,0.055,4.955,0.045,4.97,0.03,4.96,0.04,4.975,0.025,4.95,0.05,4.84,0.105,0.68,0.555,45.4852,0.0007,12.4185,0.0011
Venezia,Burano,Early Summer,Entire home/apt,0.2285,12.0,9.0,2.0,1.0,4.0,1.0,140.0,21.0,20.0,18.0,4.95,0.05,4.95,0.05,4.98,0.02,4.95,0.05,4.98,0.02,4.96,0.04,4.84,0.09,1.23,0.77,45.4852,0.0006,12.4184,0.0012
Venezia,Burano,Early Winter,Entire home/apt,0.2499,7.0,6.5,2.0,1.0,4.0,1.0,126.5,23.5,18.5,17.0,4.95,0.05,4.975,0.025,4.98,0.02,4.96,0.04,5.0,0.0,4.95,0.05,4.85,0.09,0.625,0.505,45.4852,0.0006,12.4185,0.0011
Milano,CANTALUPA,Early Spring,Entire home/apt,1.0,10.5,8.5,76.5,75.5,3.0,1.0,62.5,12.5,10.5,8.5,4.38,0.12,4.62,0.12,4.63,0.37,4.815,0.185,4.195,0.695,4.46,0.04,4.435,0.065,2.045,1.785,45.4226,0.0028,9.158,0.0002
Milano,CANTALUPA,Early Summer,Entire home/apt,1.0,18.0,16.0,73.5,72.5,3.0,1.0,66.0,11.0,18.0,16.0,4.37,0.13,4.47,0.03,4.56,0.44,4.765,0.235,4.105,0.605,4.31,0.19,4.395,0.105,2.24,2.05,45.4226,0.0028,9.158,0.0002
Milano,CANTALUPA,Early Winter,Private room,0.971,2.0,2.0,1.0,0.0,2.0,0.0,55.0,0.0,8.0,4.0,4.5,0.13,4.67,0.17,4.63,0.37,5.0,0.0,5.0,0.0,4.2,0.28,4.67,0.08,0.32,0.13,45.424,0.0008,9.1626,0.002
Milano,CASCINA TRIULZA - EXPO,Early Spring,Entire home/apt,-0.0,1.0,0.0,1.0,0.0,4.0,0.0,109.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,45.5229,0.0,9.0963,0.0
Milano,CASCINA TRIULZA - EXPO,Early Summer,Entire home/apt,-0.0,4.0,0.0,1.0,0.0,4.0,0.0,120.0,0.0,4.0,0.0,4.5,0.0,4.25,0.0,4.75,0.0,4.75,0.0,5.0,0.0,4.0,0.0,4.0,0.0,1.21,0.0,45.5229,0.0,9.0963,0.0
Milano,CENTRALE,Early Spring,Entire home/apt,0.5917,12.0,11.0,6.0,5.0,3.0,1.0,104.0,26.0,25.5,22.5,4.78,0.17,4.85,0.13,4.82,0.16,4.87,0.13,4.9,0.1,4.8,0.125,4.7,0.18,1.58,1.25,45.4871,0.0036,9.2048,0.0025
Milano,CENTRALE,Early Summer,Entire home/apt,0.5952,10.0,9.0,6.0,5.0,4.0,1.0,109.0,26.0,22.0,19.0,4.8,0.18,4.86,0.14,4.84,0.16,4.88,0.12,4.9,0.1,4.81,0.13,4.71,0.18,1.62,1.275,45.4872,0.0037,9.2051,0.0024
Milano,CENTRALE,Early Winter,Entire home/apt,0.6657,9.0,9.0,4.0,3.0,3.0,1.0,102.0,25.0,24.0,22.0,4.77,0.18,4.85,0.14,4.82,0.18,4.88,0.12,4.91,0.09,4.8,0.13,4.69,0.18,1.45,1.18,45.4873,0.0038,9.2049,0.0024
Milano,CHIARAVALLE,Early Spring,Entire home/apt,-0.0,4.0,0.0,3.0,0.0,3.0,0.0,65.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,4.75,0.0,5.0,0.0,5.0,0.0,4.75,0.0,5.0,0.0,0.39,0.0,45.4173,0.0,9.2388,0.0
